ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7977203	3.09e-03	1.71e-03	-3.349779	-1.967553	-0.339856	ASPG	asparaginase
8064111	3.10e-03	1.71e-03	-3.348868	-1.969996	-0.290531	RTEL1-TNFRSF6B///RTEL1///TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)///regulator of telomere elongation helicase 1///TNF receptor superfamily member 6b
8044263	3.10e-03	1.72e-03	3.348513	-1.97095	0.561225	RANBP2	RAN binding protein 2
8125752	3.10e-03	1.72e-03	3.34833	-1.971439	0.413905	CUTA	cutA divalent cation tolerance homolog
7984380	3.10e-03	1.72e-03	-3.348321	-1.971464	-0.236005	IQCH	IQ motif containing H
8122865	3.11e-03	1.72e-03	-3.346911	-1.975245	-0.469116	VIP	vasoactive intestinal peptide
8112478	3.13e-03	1.73e-03	3.345335	-1.979471	0.604302	NAIP	NLR family apoptosis inhibitory protein
8031277	3.13e-03	1.73e-03	-3.345333	-1.979475	-0.800653	1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	killer cell immunoglobulin-like receptor, three domains, pseudogene///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
7944351	3.13e-03	1.73e-03	-3.34516	-1.979939	-0.340495	FOXR1	forkhead box R1
8111629	3.13e-03	1.74e-03	3.344557	-1.981556	0.56959	NUP155	nucleoporin 155
