GSE39645,DNASE2,1.545957,7.64E-14,1.29E-11,10.888472,Up
GSE39645,SLC16A4,1.989846,8.01E-14,1.34E-11,10.872072,Up
GSE39645,AKAP7,1.94708,8.36E-14,1.39E-11,10.857248,Up
GSE39645,KHDRBS3,1.370341,8.91E-14,1.47E-11,10.835174,Up
GSE39645,SEMA7A,1.982579,9.15E-14,1.49E-11,10.826174,Up
GSE39645,GFRA3,3.573492,9.27E-14,1.5E-11,10.821667,Up
GSE39645,EPB41L4B,2.354663,9.91E-14,1.58E-11,10.798564,Up
GSE39645,FBLN1,-2.183467,1.03E-13,1.64E-11,-10.784486,Down
GSE39645,PTCHD4,1.874286,1.18E-13,1.86E-11,10.737757,Up
GSE39645,TJP2,-1.820094,1.21E-13,1.88E-11,-10.72965,Down
GSE39645,FAM101B,-0.705316,1.23E-13,1.89E-11,-10.724964,Down
GSE39645,ITPR3,1.98091,1.27E-13,1.94E-11,10.713761,Up
GSE39645,UBA7,1.303031,1.29E-13,1.95E-11,10.708923,Up
GSE39645,ADAMTS3,-1.467015,1.3E-13,1.96E-11,-10.704133,Down
GSE39645,C6orf1,1.089778,1.4E-13,2.09E-11,10.678512,Up
GSE39645,NPAS2,-0.935009,1.43E-13,2.11E-11,-10.673526,Down
GSE39645,APOBEC3G,1.653378,1.56E-13,2.28E-11,10.643271,Up
GSE39645,C3AR1,2.210189,1.59E-13,2.31E-11,10.636259,Up
GSE39645,EPB41L2,1.74082,1.61E-13,2.32E-11,10.632225,Up
GSE39645,TREM2,2.436705,1.73E-13,2.47E-11,10.607806,Up
GSE39645,FRMD4A,1.35276,1.82E-13,2.58E-11,10.589622,Up
GSE39645,STARD13,1.685722,1.87E-13,2.64E-11,10.579769,Up
GSE39645,CXorf38,0.881729,1.97E-13,2.75E-11,10.562622,Up
GSE39645,TMEM176B,1.383072,2.03E-13,2.81E-11,10.552378,Up
GSE39645,CXCL1,-1.449703,2.14E-13,2.93E-11,-10.534486,Down
GSE39645,BBS12,1.402457,2.16E-13,2.93E-11,10.531637,Up
GSE39645,RASGEF1C,1.390677,2.18E-13,2.93E-11,10.528599,Up
GSE39645,SPATA13,1.832509,2.18E-13,2.93E-11,10.527766,Up
GSE39645,KCNT2,-1.063789,2.2E-13,2.93E-11,-10.524846,Down
GSE39645,SEMA4B,1.412385,2.57E-13,3.4E-11,10.472216,Up
GSE39645,TLR3,1.703993,2.62E-13,3.43E-11,10.465892,Up
GSE39645,MR1,1.410448,2.71E-13,3.53E-11,10.454027,Up
GSE39645,CHPF,1.410726,2.95E-13,3.82E-11,10.424797,Up
GSE39645,PLCH1,1.611396,3.17E-13,4.07E-11,10.400202,Up
GSE39645,TMEM176A,2.344188,3.21E-13,4.09E-11,10.396368,Up
GSE39645,PROCR,-0.958615,3.28E-13,4.14E-11,-10.389613,Down
GSE39645,SOBP,-1.132087,3.37E-13,4.23E-11,-10.379917,Down
GSE39645,NCAM1,2.320872,3.41E-13,4.26E-11,10.375442,Up
GSE39645,ZFPM2,-1.356372,3.76E-13,4.66E-11,-10.342626,Down
GSE39645,THSD4,-1.428825,4.4E-13,5.41E-11,-10.289891,Down
GSE39645,APOBEC3A_B///APOBEC3A,-1.46843,4.46E-13,5.45E-11,-10.285212,Down
GSE39645,KIF16B,1.478667,4.53E-13,5.5E-11,10.27982,Up
GSE39645,TDRD7,1.497859,4.61E-13,5.55E-11,10.274217,Up
GSE39645,FAM180A,-1.419084,4.73E-13,5.66E-11,-10.265458,Down
GSE39645,ADAM17,1.366017,4.76E-13,5.66E-11,10.263038,Up
GSE39645,NRXN3,2.188846,4.79E-13,5.66E-11,10.260879,Up
GSE39645,HTATIP2,1.360699,4.89E-13,5.73E-11,10.254128,Up
GSE39645,G0S2,-2.875304,5.1E-13,5.88E-11,-10.240209,Down
GSE39645,SLC15A3,2.200481,5.12E-13,5.88E-11,10.238834,Up
GSE39645,HLA-DOA,2.007327,5.12E-13,5.88E-11,10.238318,Up
GSE39645,ZNF423,-0.923538,5.16E-13,5.88E-11,-10.235758,Down
GSE39645,XPNPEP2,-1.188701,5.18E-13,5.88E-11,-10.23448,Down
