#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATM	ZFHX3	9606.ENSP00000278616	9606.ENSP00000493252	0	0	0	0	0.042	0	0	0.579	0.579
ATM	CHD4	9606.ENSP00000278616	9606.ENSP00000440542	0	0	0	0	0.054	0.300	0	0.452	0.606
ATM	TGFBR2	9606.ENSP00000278616	9606.ENSP00000351905	0	0	0	0	0.074	0.095	0	0.595	0.631
ATM	NRAS	9606.ENSP00000278616	9606.ENSP00000358548	0	0	0	0	0.061	0.071	0	0.611	0.632
ATM	FGFR2	9606.ENSP00000278616	9606.ENSP00000410294	0	0	0	0	0.052	0	0	0.702	0.705
ATM	CDKN2A	9606.ENSP00000278616	9606.ENSP00000418915	0	0	0	0	0.042	0.053	0	0.845	0.847
ATM	ATR	9606.ENSP00000278616	9606.ENSP00000343741	0	0	0	0.564	0.213	0.974	0.900	0.745	0.999
ATR	MTOR	9606.ENSP00000343741	9606.ENSP00000354558	0	0	0	0.554	0.143	0.079	0	0.342	0.436
ATR	CDKN2A	9606.ENSP00000343741	9606.ENSP00000418915	0	0	0	0	0	0.292	0	0.373	0.537
ATR	STAG1	9606.ENSP00000343741	9606.ENSP00000372689	0	0	0	0	0.123	0	0.500	0.282	0.658
ATR	CHD4	9606.ENSP00000343741	9606.ENSP00000440542	0	0	0	0	0.074	0.335	0	0.545	0.695
CDKN2A	PAX8	9606.ENSP00000418915	9606.ENSP00000263334	0	0	0	0	0	0.045	0	0.505	0.507
CDKN2A	EPAS1	9606.ENSP00000418915	9606.ENSP00000263734	0	0	0	0	0	0	0	0.533	0.533
CDKN2A	PIK3CA	9606.ENSP00000418915	9606.ENSP00000263967	0	0	0	0	0	0	0	0.791	0.791
CDKN2A	GNAQ	9606.ENSP00000418915	9606.ENSP00000286548	0	0	0	0	0.042	0	0	0.507	0.507
CDKN2A	KIT	9606.ENSP00000418915	9606.ENSP00000288135	0	0	0	0	0	0	0	0.669	0.669
CDKN2A	PDGFB	9606.ENSP00000418915	9606.ENSP00000330382	0	0	0	0	0.085	0	0	0.380	0.408
CDKN2A	TGFBR2	9606.ENSP00000418915	9606.ENSP00000351905	0	0	0	0	0	0.095	0	0.507	0.534
CDKN2A	NTRK3	9606.ENSP00000418915	9606.ENSP00000354207	0	0	0	0	0	0.095	0	0.375	0.410
CDKN2A	MTOR	9606.ENSP00000418915	9606.ENSP00000354558	0	0	0	0	0.042	0.107	0	0.586	0.615
CDKN2A	NRAS	9606.ENSP00000418915	9606.ENSP00000358548	0	0	0	0	0.055	0.102	0.900	0.837	0.984
CDKN2A	GATA3	9606.ENSP00000418915	9606.ENSP00000368632	0	0	0	0	0	0.049	0	0.643	0.646
CDKN2A	LRP1B	9606.ENSP00000418915	9606.ENSP00000374135	0	0	0	0	0	0	0	0.505	0.505
CDKN2A	FAT1	9606.ENSP00000418915	9606.ENSP00000406229	0	0	0	0	0.042	0	0	0.597	0.597
CDKN2A	FGFR2	9606.ENSP00000418915	9606.ENSP00000410294	0	0	0	0	0	0	0	0.592	0.592
CDKN2A	PTPRC	9606.ENSP00000418915	9606.ENSP00000411355	0	0	0	0	0.042	0.053	0	0.479	0.486
CDKN2A	KIAA1549	9606.ENSP00000418915	9606.ENSP00000416040	0	0	0	0	0	0	0	0.447	0.447
CDKN2A	PIK3CB	9606.ENSP00000418915	9606.ENSP00000501150	0	0	0	0	0	0	0	0.457	0.457
CHD4	PABPC1	9606.ENSP00000440542	9606.ENSP00000313007	0	0	0	0	0.165	0.314	0	0.071	0.422
CHD4	GATA3	9606.ENSP00000440542	9606.ENSP00000368632	0	0	0	0	0	0.095	0	0.687	0.704
CHD4	ZFHX3	9606.ENSP00000440542	9606.ENSP00000493252	0	0	0	0	0.060	0.510	0	0.265	0.631
CREB3L1	GNAQ	9606.ENSP00000481956	9606.ENSP00000286548	0	0	0	0	0	0	0	0.405	0.405
CREB3L1	KIT	9606.ENSP00000481956	9606.ENSP00000288135	0	0	0	0	0	0	0	0.417	0.417
CREB3L1	CREB3L2	9606.ENSP00000481956	9606.ENSP00000329140	0	0	0	0.872	0.049	0.514	0.900	0.158	0.955
CSMD3	PIK3CA	9606.ENSP00000297405	9606.ENSP00000263967	0	0	0	0	0	0	0	0.571	0.571
CSMD3	FAT1	9606.ENSP00000297405	9606.ENSP00000406229	0	0	0	0	0	0	0	0.448	0.448
CSMD3	ZFHX3	9606.ENSP00000297405	9606.ENSP00000493252	0	0	0	0	0	0	0	0.449	0.449
CSMD3	ROBO2	9606.ENSP00000297405	9606.ENSP00000417335	0	0	0	0	0.066	0	0	0.489	0.502
CSMD3	FAT3	9606.ENSP00000297405	9606.ENSP00000432586	0	0	0	0	0.062	0.049	0	0.668	0.678
CSMD3	LRP1B	9606.ENSP00000297405	9606.ENSP00000374135	0	0	0	0	0.093	0	0	0.766	0.779
CTNNA2	LRP1B	9606.ENSP00000384638	9606.ENSP00000374135	0	0	0	0	0.117	0	0	0.440	0.485
CTNNA2	DCC	9606.ENSP00000384638	9606.ENSP00000389140	0	0	0	0	0.119	0	0	0.405	0.454
DCC	ROBO2	9606.ENSP00000389140	9606.ENSP00000417335	0	0	0	0.579	0.074	0.307	0	0.598	0.719
EPAS1	TGFBR2	9606.ENSP00000263734	9606.ENSP00000351905	0	0	0	0	0.221	0.071	0	0.252	0.412
EPAS1	PDGFB	9606.ENSP00000263734	9606.ENSP00000330382	0	0	0	0	0.086	0	0	0.396	0.424
EPAS1	KIT	9606.ENSP00000263734	9606.ENSP00000288135	0	0	0	0	0.108	0	0	0.384	0.427
EPAS1	PIK3CA	9606.ENSP00000263734	9606.ENSP00000263967	0	0	0	0	0	0	0	0.459	0.459
EPAS1	MTOR	9606.ENSP00000263734	9606.ENSP00000354558	0	0	0	0	0	0	0	0.728	0.728
FAT1	PIK3CA	9606.ENSP00000406229	9606.ENSP00000263967	0	0	0	0	0	0	0	0.653	0.653
FAT1	NRAS	9606.ENSP00000406229	9606.ENSP00000358548	0	0	0	0	0	0.169	0	0.376	0.459
FAT1	LATS1	9606.ENSP00000406229	9606.ENSP00000437550	0	0	0	0	0	0.180	0	0.409	0.494
FAT1	ROBO2	9606.ENSP00000406229	9606.ENSP00000417335	0	0	0	0	0.081	0	0	0.483	0.504
FAT3	PIK3CA	9606.ENSP00000432586	9606.ENSP00000263967	0	0	0	0	0	0	0	0.417	0.416
FGFR2	PIK3CA	9606.ENSP00000410294	9606.ENSP00000263967	0	0	0	0	0	0.087	0.650	0.737	0.908
FGFR2	GNAQ	9606.ENSP00000410294	9606.ENSP00000286548	0	0	0	0	0.078	0	0	0.507	0.526
FGFR2	KIT	9606.ENSP00000410294	9606.ENSP00000288135	0	0	0	0.714	0.078	0.099	0	0.479	0.529
FGFR2	PDGFB	9606.ENSP00000410294	9606.ENSP00000330382	0	0	0	0	0.057	0	0.650	0.358	0.769
FGFR2	NTRK3	9606.ENSP00000410294	9606.ENSP00000354207	0	0	0	0.645	0.082	0.091	0	0.375	0.432
FGFR2	NRAS	9606.ENSP00000410294	9606.ENSP00000358548	0	0	0	0	0	0.099	0.900	0.767	0.977
FGFR2	PIK3CB	9606.ENSP00000410294	9606.ENSP00000501150	0	0	0	0	0.042	0.087	0.650	0.292	0.754
FLI1	TGFBR2	9606.ENSP00000433488	9606.ENSP00000351905	0	0	0	0	0.189	0.052	0	0.363	0.468
GATA3	PAX8	9606.ENSP00000368632	9606.ENSP00000263334	0	0	0	0	0.086	0	0	0.692	0.707
GATA3	PIK3CA	9606.ENSP00000368632	9606.ENSP00000263967	0	0	0	0	0	0	0	0.583	0.583
GATA3	KIT	9606.ENSP00000368632	9606.ENSP00000288135	0	0	0	0	0	0	0	0.583	0.583
GATA3	MTOR	9606.ENSP00000368632	9606.ENSP00000354558	0	0	0	0	0	0.126	0	0.391	0.445
GATA3	PRDM1	9606.ENSP00000368632	9606.ENSP00000358092	0	0	0	0	0.050	0	0	0.597	0.601
